"","countries","date","bytes","languages","quotations","source","n","population","welfare","gdp","lifespan","univ","urbanization","literacy","books","parliament","autonomous_cities","value","Nobs"
"1","Arab",-800,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","China",-800,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Europe",-800,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Greece",-800,0,0,0,NA,0,0.8,NA,0.343367383731173,NA,NA,NA,NA,NA,NA,NA,0,0
"5","India",-800,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Arab",-700,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","China",-700,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Europe",-700,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Greece",-700,0,0,0,NA,0,1,NA,0.480714337223642,NA,NA,NA,NA,NA,NA,NA,0,0
"10","India",-700,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Arab",-600,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","China",-600,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Europe",-600,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Greece",-600,1.93001948777121,3.34048600566483,3.14473826084705,NA,2,2,NA,1.03010215119352,NA,NA,NA,NA,NA,NA,NA,8.41524375428309,8.41524375428309
"15","India",-600,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Arab",-500,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
